"id","filename","format","mode","filesize","width","height","info","exif","md5hash","photohash","cons_folder"
66,"3423-001.jpg","JPEG","RGB",3045918,5647,4239,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","bfd048402b8448cae467922f689dc524","4eefaf86800004fe","Cons 3423"
67,"3423-002.jpg","JPEG","RGB",3000604,3887,5519,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","69db42eb0bf3963030e3172c824f7857","bebf8e8e8ec28000","Cons 3423"
68,"3423-004.jpg","JPEG","RGB",3108654,5727,4175,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","65c42d064a4edb262f3db773dfbacd31","7c7e7c7c7a6e00fc","Cons 3423"
69,"3423-004A.jpg","JPEG","RGB",3495655,3983,6455,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","ec68dcde5b4151f0ee4e8383b9d20490","78fefe3c060606f8","Cons 3423"
70,"3423-005.jpg","JPEG","RGB",3387865,6063,4271,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","b2794a75920681add5936e79e06ddf16","247efef6627800fc","Cons 3423"
71,"3423-005A.jpg","JPEG","RGB",1113906,2351,3711,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","2e42d8118aa9816118482868f583cda3","fdbf8783a78000f0","Cons 3423"
72,"3423-006.jpg","JPEG","RGB",3270283,6015,4287,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","821ae5a2d3f34fd1c74f5620ede807c1","046e47460f3e00fc","Cons 3423"
73,"3423-006A.jpg","JPEG","RGB",3994024,6047,4575,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","606a7c2540cbe0b3a8c7918861db1ebf","207c6e66604000fc","Cons 3423"
74,"3423-007.jpg","JPEG","RGB",3075193,5823,4303,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","948d2b7f09e49e93a205482561299831","02cededec28000fc","Cons 3423"
75,"3423-008.jpg","JPEG","RGB",3626313,6015,4319,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","6d9475e5d4ba9501cc9c979f7811f1eb","006e7e6e7e7e04fc","Cons 3423"
76,"3423-008A.jpg","JPEG","RGB",2480779,2223,5999,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","9790201391ea952040c66092c64ef291","81808081c0c101ff","Cons 3423"
77,"3423-009.jpg","JPEG","RGB",2224514,3055,4255,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","f383437cc4c1d00b1623aa651016ab73","f8fcc6019ab200f8","Cons 3423"
78,"3423-010.jpg","JPEG","RGB",1267090,2863,3215,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","0046ba7785a2d25ce9e730ed9b13d657","fede1e3ce3c380f0","Cons 3423"
